taxon,food_subtype,food_type,kingdom,phylum,class,order,suborder,family,subfamily,tribe,genus,species,subspecies,variety,form,group,cultivar,phenotype,binomial,nomial,trinomial,part_variant,classold,food_region,food_state,food_name_prefix,food_name,food_part,food_subpart,food_form_prefix,food_form,food_keywords,description_long,description_short,protein,lipid,carbohydrate,mineral,kilocalories,starch,sucrose,glucose,fructose,lactose,maltose,ethanol,water,caffeine,theobromine,kilojoules,sugar,galactose,fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,fluoride,manganese,selenium,vitamin_a_ui,retinol,vitamin_a_rae,beta_carotene,alpha_carotene,alpha_tocopherol,vitamin_d,ergocalciferol,cholecalciferol,beta_cryptoxanthin,lycopene,lutein_and_zeaxanthin,beta_tocopherol,gamma_tocopherol,delta_tocopherol,alpha_tocotrienol,beta_tocotrienol,gamma_tocotrienol,delta_tocotrienol,ascorbic_acid,thiamin,riboflavin,niacin,pantothenic_acid,vitamin_b6,folate_total,cyanocobalamin,choline,menaquinone_4,dihydrophylloquinone,phylloquinone,folic_acid,folate,folate_dfe,betaine,tryptophan,threonine,isoleucine,leucine,lysine,methionine,cystine,phenylalanine,tyrosine,valine,arginine,histidine,alanine,aspartic_acid,glutamic_acid,glycine,proline,serine,hydroxyproline,cholesterol,fc04_d0,saturated_fat,c04_d0,c06_d0,c08_d0,c10_d0,c12_d0,c14_d0,c16_d0,c18_d0,c20_d0,c18_d1_undifferentiated,c18_d2_undifferentiated,c18_d3_undifferentiated,c20_d4_undifferentiated,c22_d6_n3_dha,c22_d0,c14_d1,c16_d1_undifferentiated,c18_d4,c20_d1,c20_d5_n3,c22_d1_undifferentiated,c22_d5_n3,phytosterol,stigmasterol,campesterol,beta_sitosterol,monounsaturated_fat,polyunsaturated_fat,c15_d0,c17_d0,c24_d0,c16_d1_trans,c18_d1_trans,c22_d1_trans,c18_d2_trans,c18_d2_mixed,c18_d2_trans_trans,c18_d2_clas,c24_d1_cis,c20_d2_n6_cis_cis,c16_d1_cis,c18_d1_cis,c18_d2_n6_cis_cis,c22_d1_cis,c18_d3_n6_cis_cis_cis,c17_d1,c20_d3_undifferentiated,trans_monoenoic_fat,trans_polyenoic_fat,c13_d0,c15_d1,c18_d3_n3_cis_cis_cis,c20_d3_n3,c20_d3_n6,c20_d4_n6,c18_d3_mixed,c21_d5,c22_d4,c18_d1_d11_t_c18_d1t_n7
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,mushrooms,,,,,"uk, british, dg","Mushrooms, Jew's ear, tender, dried, soaked, raw","MUSHROOMS, JEW'S EAR, TENDER, DRIED, SOAKED, RAW",0.7,0.7,5.7,,29.0,,,,,,,,92.0,,,121.0,,,,23.0,5.1,,5.0,60.0,1.0,,,,,,,,2.0,10.0,,,,,,,,,,,,,,,,,0.01,0.07,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,mushrooms,,,,,"uk, british, dg","Mushrooms, Jew's ear, tough, dried, raw","MUSHROOMS, JEW'S EAR, TOUGH, DRIED, RAW",4.8,2.0,68.7,,325.0,,,,,,,,7.5,,,1360.0,,,,230.0,21.5,,110.0,630.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.32,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,mushrooms,,,,,"uk, british, dg","Mushrooms, Jew's ear, tough, dried, soaked, raw","MUSHROOMS, JEW'S EAR, TOUGH, DRIED, SOAKED, RAW",1.1,0.2,15.1,,76.0,,,,,,,,78.2,,,318.0,,,,53.0,6.8,,10.0,41.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.09,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,mushrooms,,,,,"uk, british, dg","Mushrooms, oyster, raw","MUSHROOMS, OYSTER, RAW",1.6,0.2,,,8.0,,,,,,,,90.1,,,35.0,,,,29.0,1.9,29.0,120.0,230.0,77.0,,,,3.6,3.0,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,mushrooms,,,,,"uk, british, dg","Mushrooms, shiitake, cooked","MUSHROOMS, SHIITAKE, COOKED",1.6,0.2,12.3,,55.0,,,,,,,,83.5,,,232.0,,,,3.0,0.4,14.0,29.0,120.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.17,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,mushrooms,,,,,"uk, british, dg","Mushrooms, shiitake, dried, raw","MUSHROOMS, SHIITAKE, DRIED, RAW",9.6,1.0,63.9,,296.0,,,,,,,,9.5,,,1238.0,,,,11.0,1.7,130.0,290.0,1530.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1.27,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,mushrooms,,,,,"uk, british, dg","Mushrooms, white, raw","MUSHROOMS, WHITE, RAW",1.0,0.2,0.3,,7.0,,,,0.3,,,,92.9,,,29.0,0.3,,0.7,3.0,0.21,10.0,94.0,378.0,4.0,0.6,0.28,,0.05,17.0,,,,,,0.01,,,,,,,0.03,,,,,,,1.0,0.13,0.27,2.5,2.38,0.1,40.0,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,mustard and cress,,,,,"uk, british, dg","Mustard and cress, raw","MUSTARD AND CRESS, RAW",1.6,0.6,0.4,,13.0,,,,,,,,95.3,,,56.0,0.4,,,50.0,1.0,22.0,33.0,110.0,19.0,0.3,0.01,,,,,,215.0,,,0.7,,,,,,,,,,,,,,33.0,0.04,0.04,1.0,,0.15,60.0,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,mustard leaves,,,,,"uk, british, dg","Mustard leaves, boiled in unsalted water","MUSTARD LEAVES, BOILED IN UNSALTED WATER",2.0,0.2,1.9,,17.0,1.4,,0.3,0.2,,,,94.6,,,73.0,0.5,,,80.0,0.8,15.0,41.0,200.0,16.0,,,,,,,,56.0,335.0,,,,,,,,,,,,,,,,26.0,0.04,0.07,0.5,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,united kingdom,,,mustard leaves,,,,,"uk, british, dg","Mustard leaves, raw","MUSTARD LEAVES, RAW",2.5,0.3,3.6,,27.0,2.8,,0.4,0.3,,,,91.3,,,115.0,0.8,,,130.0,2.1,32.0,45.0,330.0,25.0,,,,,,,,83.0,500.0,,2.01,,,,,,,,,,,,,,71.0,0.07,0.13,0.8,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
